Model,Test Loss,MSE,PSNR
Feed Forward Autoencoder,0.11230092495679855,0.016292939,18.347455978393555
Transpose CNN Autoencoder,0.09515810012817383,0.010712166,20.031099319458008
UpSampling CNN Autoencoder,0.09366734325885773,0.01025049,20.237464904785156
